,#,Team,Pl,W,D,L,F,A,GD,Pts,Last 6,Source
0,1,Monaco,8,5,2,1,21,11,10,17,,Ligue 1
1,2,Nice,8,4,4,0,9,4,5,16,,Ligue 1
2,3,Paris Saint-Germain,8,4,3,1,17,7,10,15,,Ligue 1
3,4,Brest,8,4,3,1,9,7,2,15,,Ligue 1
4,5,Reims,8,4,1,3,14,11,3,13,,Ligue 1
5,6,Marseille,8,3,3,2,12,11,1,12,,Ligue 1
6,7,Lille,8,3,3,2,11,10,1,12,,Ligue 1
7,8,Rennes,8,2,5,1,14,10,4,11,,Ligue 1
8,9,Nantes,8,3,2,3,14,15,-1,11,,Ligue 1
9,10,Toulouse,8,2,4,2,10,9,1,10,,Ligue 1
10,11,Strasbourg,8,3,1,4,8,11,-3,10,,Ligue 1
11,12,Montpellier,7,2,3,2,12,9,3,9,,Ligue 1
12,13,Le Havre,8,2,3,3,10,12,-2,9,,Ligue 1
13,14,RC Lens,8,2,2,4,8,13,-5,8,,Ligue 1
14,15,Metz,8,2,2,4,7,14,-7,8,,Ligue 1
15,16,Lorient,8,1,4,3,13,18,-5,7,,Ligue 1
16,17,Lyon,8,0,3,5,6,16,-10,3,,Ligue 1
17,18,Clermont,7,0,2,5,5,12,-7,2,,Ligue 1
18,1,Tottenham Hotspur,8,6,2,0,18,8,10,20,,Premier League
19,2,Arsenal,8,6,2,0,16,6,10,20,,Premier League
20,3,Manchester City,8,6,0,2,17,6,11,18,,Premier League
21,4,Liverpool,8,5,2,1,18,9,9,17,,Premier League
22,5,Aston Villa,8,5,1,2,19,12,7,16,,Premier League
23,6,Brighton and Hove Albion,8,5,1,2,21,16,5,16,,Premier League
24,7,West Ham United,8,4,2,2,15,12,3,14,,Premier League
25,8,Newcastle United,8,4,1,3,20,9,11,13,,Premier League
26,9,Crystal Palace,8,3,3,2,7,7,0,12,,Premier League
27,10,Manchester United,8,4,0,4,9,12,-3,12,,Premier League
28,11,Chelsea,8,3,2,3,11,7,4,11,,Premier League
29,12,Fulham,8,3,2,3,8,13,-5,11,,Premier League
30,13,Nottingham Forest,8,2,3,3,8,10,-2,9,,Premier League
31,14,Wolverhampton Wanderers,8,2,2,4,9,14,-5,8,,Premier League
32,15,Brentford,8,1,4,3,11,12,-1,7,,Premier League
33,16,Everton,8,2,1,5,9,12,-3,7,,Premier League
34,17,Luton Town,8,1,1,6,6,15,-9,4,,Premier League
35,18,Burnley,8,1,1,6,7,20,-13,4,,Premier League
