,Home Team,Scores,Away Team
0,Brighton and Hove Albion,2 2,Liverpool
1,West Ham United,2 2,Newcastle United
2,Wolverhampton Wanderers,1 1,Aston Villa
3,Arsenal,1 0,Manchester City
4,Brighton and Hove Albion Women,0 2,West Ham United Women
5,Manchester City Women,1 1,Chelsea Women
6,Tottenham Hotspur Women,3 1,Bristol City Women
7,Leicester City Women,1 0,Everton Women
8,Liverpool Women,2 0,Aston Villa Women
9,St Mirren,0 3,Rangers
10,Aberdeen,0 0,St. Johnstone
11,Glasgow City,3 0,Spartans Women
12,Montrose Women,3 3,Hearts Women
13,Celtic Women,6 0,Motherwell Women
14,Dundee United Women,3 2,Aberdeen Women
15,Hibernian Women,0 2,Partick Thistle Women
16,Hamilton Academical Women,0 6,Rangers Women
17,Bayer Leverkusen,3 0,Cologne
18,Bayern Munich,3 0,SC Freiburg
19,Eintracht Frankfurt,2 0,1. FC Heidenheim 1846
20,Villarreal,1 2,Las Palmas
21,Atletico Madrid,2 1,Real Sociedad
22,Alaves,1 1,Real Betis
23,Celta Vigo,2 2,Getafe
24,Granada,2 2,Barcelona
25,Monza,3 0,Salernitana
26,Frosinone,2 1,Verona
27,Lazio,3 2,Atalanta
28,Cagliari,1 4,Roma
29,Napoli,1 3,Fiorentina
30,Marseille,3 0,Le Havre
31,Brest,1 1,Toulouse
32,Lyon,3 3,Lorient
33,RC Lens,1 1,Lille
34,Rennes,1 3,Paris Saint-Germain
35,Charlton Athletic Women,1 1,Durham Women
36,Reading Women,1 0,Lewes Women
37,Birmingham City Women,1 1,Sunderland Ladies
38,Blackburn Rovers Ladies,0 4,Crystal Palace Women
39,Watford FC Women,0 2,Southampton Women
40,Burnley Ladies,4 1,Stourbridge Ladies
41,Fylde Ladies,2 2,West Bromwich Albion WFC
42,Liverpool Marshall Feds LFC,0 4,Newcastle United Ladies
43,Nottingham Forest Ladies,1 2,Derby County Ladies
44,Wolverhampton Wanderers Ladies,4 0,Huddersfield Town Ladies
45,London Bees,0 4,Cardiff City Ladies
46,Oxford United Women,2 1,Ipswich Town Ladies
47,Portsmouth Ladies,7 0,Billericay Town Ladies
48,Hashtag United Women,1 2,MK Dons Ladies
